Temps(s),U(V),Itot(A),IC(A),IRL(A)
-4.807000e-02,-174,-2.4,-4.6,2
-4.806000e-02,-174,-2.6,-4.8,2.2
-4.805000e-02,-180,-2.4,-4.8,2
-4.804000e-02,-180,-2.6,-4.8,2.2
-4.803000e-02,-168,-2.6,-4.8,2.2
-4.802000e-02,-180,-2.6,-4.6,2.2
-4.801000e-02,-180,-2.8,-4.8,2
-4.800000e-02,-174,-2.6,-4.8,2
-4.799000e-02,-174,-2.6,-4.8,1.8
-4.798000e-02,-180,-2.6,-4.8,1.8
-4.797000e-02,-192,-3,-4.8,1.8
-4.796000e-02,-180,-2.6,-4.6,1.8
-4.795000e-02,-180,-2.8,-4.6,1.8
-4.794000e-02,-174,-2.4,-4.8,1.8
-4.793000e-02,-186,-2.6,-4.6,1.8
-4.792000e-02,-186,-2.4,-4.4,1.6
-4.791000e-02,-192,-2.8,-4.6,1.8
-4.790000e-02,-186,-3,-4.6,1.8
-4.789000e-02,-192,-2.4,-4.6,1.6
-4.788000e-02,-180,-2.8,-4.6,1.8
-4.787000e-02,-186,-2.8,-4.6,1.6
-4.786000e-02,-180,-3,-4.6,1.6
-4.785000e-02,-192,-2.8,-4.6,1.6
-4.784000e-02,-180,-3,-4.4,1.6
-4.783000e-02,-192,-2.8,-4.8,1.6
-4.782000e-02,-192,-2.8,-4.6,1.6
-4.781000e-02,-186,-3,-4.6,1.4
-4.780000e-02,-198,-3.2,-4.8,1.4
-4.779000e-02,-192,-3.2,-4.8,1.4
-4.778000e-02,-192,-3.4,-4.6,1.4
-4.777000e-02,-192,-3.4,-4.8,1.2
-4.776000e-02,-186,-3.2,-4.8,1.4
-4.775000e-02,-192,-3.2,-5,1.2
-4.774000e-02,-198,-3.4,-5,1.4
-4.773000e-02,-192,-3.6,-5,1.2
-4.772000e-02,-198,-3.6,-5,1.4
-4.771000e-02,-204,-3.6,-5.2,1.2
-4.770000e-02,-198,-3.8,-5.2,1.2
-4.769000e-02,-198,-3.8,-5.2,1.2
-4.768000e-02,-198,-4.2,-5.4,1
-4.767000e-02,-198,-4,-5.4,1.2
-4.766000e-02,-204,-3.8,-5.6,1
-4.765000e-02,-198,-4.2,-5.6,1.4
-4.764000e-02,-204,-4.4,-5.6,1
-4.763000e-02,-204,-4.4,-5.6,1.2
-4.762000e-02,-204,-4.4,-5.6,1.2
-4.761000e-02,-204,-4.4,-5.6,1
-4.760000e-02,-204,-4.8,-5.6,1
-4.759000e-02,-210,-4.6,-5.8,0.8
-4.758000e-02,-210,-4.4,-5.8,1
-4.757000e-02,-210,-4.8,-6,1
-4.756000e-02,-210,-4.6,-5.8,1
-4.755000e-02,-210,-4.8,-5.8,0.8
-4.754000e-02,-216,-5,-6,0.8
-4.753000e-02,-210,-4.8,-6,1
-4.752000e-02,-210,-4.8,-5.6,0.8
-4.751000e-02,-216,-5,-5.8,0.6
-4.750000e-02,-210,-5,-5.8,0.8
-4.749000e-02,-210,-5,-5.6,0.8
-4.748000e-02,-216,-5.2,-5.6,0.6
-4.747000e-02,-222,-5,-5.6,0.4
-4.746000e-02,-222,-4.8,-5.8,0.6
-4.745000e-02,-216,-5,-5.8,0.8
-4.744000e-02,-216,-5,-6,0.4
-4.743000e-02,-222,-4.8,-5.6,0.4
-4.742000e-02,-222,-4.8,-5.6,0.6
-4.741000e-02,-222,-4.8,-5.4,0.4
-4.740000e-02,-228,-4.8,-5.2,0.6
-4.739000e-02,-228,-4.8,-5.2,0.6
-4.738000e-02,-222,-4.6,-5.4,0.6
-4.737000e-02,-228,-4.6,-5.2,0.2
-4.736000e-02,-228,-4.8,-5,0.4
-4.735000e-02,-228,-4.6,-5.2,0.2
-4.734000e-02,-228,-4.4,-5,0.2
-4.733000e-02,-234,-4.6,-5,0.4
-4.732000e-02,-228,-4.4,-4.8,0
-4.731000e-02,-228,-4.4,-5,0.2
-4.730000e-02,-234,-4.4,-4.8,0.2
-4.729000e-02,-234,-4.2,-4.6,0
-4.728000e-02,-234,-4.2,-4.4,0.2
-4.727000e-02,-234,-4.4,-4.6,0.2
-4.726000e-02,-234,-4.2,-4.6,0
-4.725000e-02,-234,-4,-4.4,0.2
-4.724000e-02,-240,-4,-4.2,0
-4.723000e-02,-234,-4,-4.2,0.2
-4.722000e-02,-234,-4,-4,0
-4.721000e-02,-234,-4,-4.2,0
-4.720000e-02,-240,-4,-4.2,0
-4.719000e-02,-240,-3.8,-4.2,0
-4.718000e-02,-240,-4,-3.8,0
-4.717000e-02,-240,-3.8,-4,0
-4.716000e-02,-240,-3.8,-4,-0.2
-4.715000e-02,-246,-3.8,-3.8,0
-4.714000e-02,-240,-4,-4,-0.2
-4.713000e-02,-234,-4,-4,-0.2
-4.712000e-02,-246,-4,-3.8,0
-4.711000e-02,-240,-4,-3.8,-0.2
-4.710000e-02,-240,-4.4,-4,-0.4
-4.709000e-02,-246,-4.4,-3.8,-0.2
-4.708000e-02,-246,-4.2,-3.8,-0.2
-4.707000e-02,-246,-4.4,-3.8,-0.4
-4.706000e-02,-240,-4.2,-4.2,-0.2
-4.705000e-02,-246,-4.4,-4,-0.2
