Temps(s),U(V),Itot(A),IL(A),IR(A)
2.040000e-03,186,-0.6,-3.2,2.2
2.050000e-03,186,-0.6,-2.8,2
2.060000e-03,186,-0.8,-2.8,2.2
2.070000e-03,180,-0.8,-2.8,2.2
2.080000e-03,192,-0.6,-2.8,2.2
2.090000e-03,186,-0.6,-2.8,2.2
2.100000e-03,186,-0.6,-2.8,2.2
2.110000e-03,186,-0.6,-3,2
2.120000e-03,186,-0.8,-2.8,2
2.130000e-03,186,-0.4,-2.8,2.2
2.140000e-03,186,-0.6,-2.8,2.2
2.150000e-03,198,-0.6,-2.8,2
2.160000e-03,186,-0.2,-2.8,2.2
2.170000e-03,186,-0.4,-2.8,2.4
2.180000e-03,192,-0.6,-2.8,2.4
2.190000e-03,192,-0.4,-3,2.2
2.200000e-03,192,-0.4,-2.6,2.2
2.210000e-03,192,-0.4,-2.8,2.4
2.220000e-03,192,-0.4,-2.8,2.2
2.230000e-03,192,-0.4,-2.8,2.4
2.240000e-03,198,-0.2,-2.8,2.4
2.250000e-03,192,-0.2,-2.8,2.2
2.260000e-03,192,-0.2,-3,2.2
2.270000e-03,198,-0.2,-2.8,2.2
2.280000e-03,198,-0.4,-2.8,2.6
2.290000e-03,198,-0.2,-2.8,2.4
2.300000e-03,204,-0.2,-2.8,2.4
2.310000e-03,198,-0.2,-2.6,2.6
2.320000e-03,204,-0.2,-2.6,2.2
2.330000e-03,204,-0.2,-2.6,2.2
2.340000e-03,204,-0.2,-2.6,2.6
2.350000e-03,210,-0.2,-2.6,2.4
2.360000e-03,204,0,-2.6,2.4
2.370000e-03,204,-0.2,-2.6,2.4
2.380000e-03,210,0,-2.6,2.4
2.390000e-03,210,0,-2.6,2.4
2.400000e-03,204,-0.2,-2.4,2.4
2.410000e-03,210,0,-2.6,2.6
2.420000e-03,216,0,-2.6,2.4
2.430000e-03,210,0,-2.6,2.4
2.440000e-03,222,0,-2.6,2.4
2.450000e-03,210,0,-2.8,2.6
2.460000e-03,216,0,-2.6,2.2
2.470000e-03,216,0,-2.4,2.8
2.480000e-03,216,0,-2.6,2.4
2.490000e-03,210,0,-2.6,2.6
2.500000e-03,216,0.2,-2.6,2.4
2.510000e-03,216,0.2,-2.4,2.6
2.520000e-03,222,0.2,-2.4,2.6
2.530000e-03,216,0.2,-2.4,2.6
2.540000e-03,216,0.2,-2.2,2.6
2.550000e-03,210,0.2,-2.6,2.6
2.560000e-03,222,0.2,-2.4,2.6
2.570000e-03,222,0.2,-2.4,2.6
2.580000e-03,228,0.4,-2.4,2.6
2.590000e-03,228,0.2,-2.4,2.6
2.600000e-03,222,0.4,-2.6,2.6
2.610000e-03,228,0.4,-2.2,2.8
2.620000e-03,228,0.4,-2.2,2.6
2.630000e-03,234,0.4,-2.4,3
2.640000e-03,228,0.4,-2.4,2.8
2.650000e-03,234,0.4,-2.2,2.6
2.660000e-03,228,0.4,-2.2,2.6
2.670000e-03,234,0.4,-2.2,2.8
2.680000e-03,228,0.4,-2.2,2.6
2.690000e-03,234,0.6,-2.2,2.6
2.700000e-03,234,0.6,-2.4,2.6
2.710000e-03,234,0.4,-2.2,2.8
2.720000e-03,234,0.4,-2.2,2.8
2.730000e-03,240,0.6,-2,2.8
2.740000e-03,234,0.6,-2.2,2.8
2.750000e-03,222,0.6,-2.2,2.8
2.760000e-03,240,0.6,-2.4,2.6
2.770000e-03,240,0.8,-2,2.8
2.780000e-03,240,0.8,-2,2.8
2.790000e-03,234,0.6,-2,3
2.800000e-03,234,0.6,-2,2.8
2.810000e-03,234,0.6,-2,3
2.820000e-03,246,0.8,-2.4,3
2.830000e-03,240,0.8,-2,2.8
2.840000e-03,246,0.8,-2,3
2.850000e-03,240,0.8,-2,2.8
2.860000e-03,246,0.6,-2,2.8
2.870000e-03,246,0.8,-2,2.8
2.880000e-03,246,1.2,-2,2.8
2.890000e-03,246,1,-1.8,2.6
2.900000e-03,246,1,-2,3
2.910000e-03,246,0.8,-2.2,3
2.920000e-03,246,1,-2,3
2.930000e-03,246,1,-2,2.6
2.940000e-03,246,1,-1.8,3
2.950000e-03,252,1,-2,2.8
2.960000e-03,252,1,-1.8,3
2.970000e-03,252,1,-1.8,3.2
2.980000e-03,246,1,-1.6,3.2
2.990000e-03,252,1,-2,3
3.000000e-03,252,1.2,-1.6,2.8
3.010000e-03,252,1.2,-1.8,2.8
3.020000e-03,258,1.2,-1.8,3
3.030000e-03,258,1.2,-1.8,3.2
3.040000e-03,258,1.4,-1.8,3
3.050000e-03,258,1.2,-1.8,3
3.060000e-03,258,1.2,-1.6,3
3.070000e-03,258,1.2,-2,3
3.080000e-03,264,1.2,-1.8,3
3.090000e-03,264,1.2,-1.8,3.2
3.100000e-03,264,1.2,-1.6,3
3.110000e-03,264,1.4,-1.6,3
3.120000e-03,264,1.4,-1.8,3.2
3.130000e-03,264,1.4,-1.6,3
3.140000e-03,258,1.4,-1.6,3
3.150000e-03,264,1.6,-1.6,3.2
3.160000e-03,258,1.8,-1.4,3.2
3.170000e-03,264,1.6,-1.6,3.2
3.180000e-03,264,1.4,-1.2,3.2
3.190000e-03,264,1.6,-1.6,3
3.200000e-03,270,1.8,-1.4,3
3.210000e-03,270,1.6,-1.6,3
3.220000e-03,264,1.6,-1.6,3.2
3.230000e-03,264,1.6,-1.6,3.4
3.240000e-03,276,1.4,-1.4,3.2
3.250000e-03,264,1.6,-1.4,3.4
3.260000e-03,264,1.8,-1.4,3.2
3.270000e-03,270,1.8,-1.6,3.2
3.280000e-03,276,1.6,-1.4,3.2
3.290000e-03,270,1.4,-1.6,3.4
3.300000e-03,276,1.8,-1.4,3.2
3.310000e-03,270,1.8,-1.4,3.2
3.320000e-03,276,2,-1.4,3.2
3.330000e-03,276,1.8,-1.4,3.2
3.340000e-03,276,2,-1.2,3.2
3.350000e-03,276,1.8,-1.2,3.2
3.360000e-03,282,2,-1.2,3.2
3.370000e-03,282,2,-1.4,3.2
3.380000e-03,282,1.8,-1.4,3.2
3.390000e-03,282,2,-1.4,3.2
3.400000e-03,282,2.2,-1.2,3.4
3.410000e-03,282,2.2,-1.4,3.4
3.420000e-03,276,2,-1.2,3.4
3.430000e-03,276,2,-1.2,3.2
3.440000e-03,282,2,-1.2,3.4
3.450000e-03,282,2.2,-1.4,3.2
3.460000e-03,276,2.2,-1.2,3.2
3.470000e-03,282,2,-1.2,3.4
3.480000e-03,276,2.2,-1.2,3.2
3.490000e-03,282,2,-1.2,3.2
3.500000e-03,276,2.2,-1.2,3.4
3.510000e-03,282,2.2,-1,3.4
3.520000e-03,282,2.2,-1.2,3.4
3.530000e-03,282,2.2,-1,3.2
3.540000e-03,294,2.4,-1,3.4
3.550000e-03,288,2.2,-1,3.4
3.560000e-03,288,2.2,-1.2,3.4
3.570000e-03,288,2.4,-0.8,3.4
3.580000e-03,288,2.2,-1,3.4
3.590000e-03,282,2.4,-1,3.4
3.600000e-03,294,2.6,-0.8,3.4
3.610000e-03,294,2.4,-1,3.4
3.620000e-03,282,2.4,-1,3.4
3.630000e-03,288,2.8,-0.8,3.4
3.640000e-03,294,2.4,-1,3.4
3.650000e-03,288,2.6,-0.8,3.4
3.660000e-03,300,2.6,-0.8,3.4
3.670000e-03,294,2.8,-1,3.4
3.680000e-03,294,2.6,-1,3.4
3.690000e-03,294,2.6,-0.8,3.4
3.700000e-03,294,2.6,-0.8,3.6
3.710000e-03,294,2.6,-0.8,3.6
3.720000e-03,294,2.8,-1,3.6
3.730000e-03,294,2.6,-1,3.6
3.740000e-03,294,2.8,-0.6,3.6
3.750000e-03,294,2.4,-0.8,3.4
3.760000e-03,300,2.8,-1,3.4
3.770000e-03,300,2.6,-0.6,3.4
3.780000e-03,300,2.6,-0.8,3.4
3.790000e-03,294,3,-0.6,3.6
3.800000e-03,306,2.6,-0.6,3.6
3.810000e-03,294,3,-0.8,3.4
3.820000e-03,300,2.8,-0.8,3.6
3.830000e-03,294,3,-0.6,3.6
3.840000e-03,300,3,-0.6,3.4
3.850000e-03,300,2.8,-0.8,3.4
3.860000e-03,300,3,-0.6,3.6
3.870000e-03,300,2.8,-0.8,3.4
3.880000e-03,306,2.8,-0.6,3.6
3.890000e-03,300,3,-0.6,3.6
3.900000e-03,306,2.8,-0.6,3.6
3.910000e-03,306,3,-0.8,3.4
3.920000e-03,300,2.8,-0.6,3.4
3.930000e-03,306,3,-0.4,3.6
3.940000e-03,300,3.4,-0.6,3.6
3.950000e-03,312,3,-0.6,3.4
3.960000e-03,300,3.2,-0.4,3.6
3.970000e-03,306,3,-0.6,3.8
3.980000e-03,312,3.2,-0.6,3.6
3.990000e-03,300,3.2,-0.6,3.6
4.000000e-03,306,3,-0.6,3.6
4.010000e-03,300,3.2,-0.4,3.6
4.020000e-03,300,3.2,-0.4,3.8
4.030000e-03,306,3,-0.4,3.4
4.040000e-03,306,3.4,-0.2,3.6
4.050000e-03,300,3.2,-0.6,3.4
4.060000e-03,306,3.2,-0.2,3.6
4.070000e-03,306,3.2,-0.4,3.6
4.080000e-03,312,3.2,-0.2,3.6
4.090000e-03,306,3.4,-0.4,3.6
4.100000e-03,306,3.2,-0.2,3.6
4.110000e-03,306,3.4,-0.4,3.6
4.120000e-03,306,3.4,-0.2,3.6
4.130000e-03,306,3.4,-0.2,3.6
4.140000e-03,306,3.6,-0.4,3.8
4.150000e-03,306,3.4,-0.4,3.8
4.160000e-03,306,3.4,-0.2,3.6
4.170000e-03,306,3.4,-0.2,3.6
4.180000e-03,312,3.6,-0.2,3.6
4.190000e-03,312,3.6,-0.2,3.6
4.200000e-03,306,3.6,-0.2,3.6
4.210000e-03,318,3.6,-0.2,3.6
4.220000e-03,306,3.6,-0.2,3.6
4.230000e-03,312,3.4,-0.2,3.8
4.240000e-03,300,3.6,-0.2,3.8
4.250000e-03,306,3.6,-0.2,3.8
4.260000e-03,312,3.6,-0.2,3.8
4.270000e-03,306,3.6,-0.2,3.8
4.280000e-03,312,3.6,0,3.6
4.290000e-03,306,3.4,0,3.6
4.300000e-03,306,3.6,0,3.6
4.310000e-03,306,3.6,-0.2,3.6
4.320000e-03,312,3.8,0,3.8
4.330000e-03,312,3.8,0,3.8
4.340000e-03,312,3.8,0.2,3.4
4.350000e-03,312,3.6,0,3.6
4.360000e-03,312,3.8,0,3.6
4.370000e-03,306,3.8,0,3.8
4.380000e-03,300,3.8,0,3.6
4.390000e-03,312,3.8,0,3.8
4.400000e-03,306,4,0,3.8
4.410000e-03,312,4,0.2,3.6
4.420000e-03,312,3.6,0,3.6
4.430000e-03,306,4,0,3.6
4.440000e-03,306,3.8,0,3.6
4.450000e-03,312,4,0.2,3.6
4.460000e-03,318,3.8,0,3.6
4.470000e-03,312,4,0.2,3.6
4.480000e-03,318,3.8,0.2,3.8
4.490000e-03,312,4,0.2,4
4.500000e-03,318,3.8,0.2,3.8
4.510000e-03,312,4.2,0.4,3.6
4.520000e-03,318,4,0.4,3.6
4.530000e-03,306,3.8,0.2,3.6
4.540000e-03,312,4.2,0.2,3.8
4.550000e-03,312,4,0.2,3.6
4.560000e-03,312,4.2,0.2,3.8
4.570000e-03,312,4,0.2,3.8
4.580000e-03,318,4.2,0.4,3.6
4.590000e-03,312,4.2,0,3.6
4.600000e-03,306,4.2,0.2,3.8
4.610000e-03,318,4,0.4,3.6
4.620000e-03,306,4.4,0.2,3.6
4.630000e-03,312,4.4,0.4,3.6
4.640000e-03,312,4.2,0.4,3.8
4.650000e-03,312,4.4,0.4,3.8
4.660000e-03,312,4.4,0.4,3.8
4.670000e-03,312,4.2,0.4,3.6
4.680000e-03,312,4.2,0.4,3.6
4.690000e-03,312,4.2,0.6,3.8
4.700000e-03,312,4.4,0.4,3.8
4.710000e-03,318,4.4,0.4,3.6
4.720000e-03,312,4.4,0.6,4
4.730000e-03,306,4.4,0.6,3.8
4.740000e-03,312,4.4,0.4,3.8
4.750000e-03,318,4.4,0.6,3.6
4.760000e-03,312,4.6,0.4,3.8
4.770000e-03,312,4.6,0.6,3.8
4.780000e-03,318,4.4,0.2,3.4
4.790000e-03,318,4.6,0.4,4
4.800000e-03,318,4.6,0.4,3.8
4.810000e-03,318,4.4,0.4,4
4.820000e-03,312,4.6,0.6,3.8
4.830000e-03,318,4.6,0.8,3.6
4.840000e-03,312,4.6,0.8,3.8
4.850000e-03,318,4.6,0.4,3.6
4.860000e-03,318,4.6,0.6,3.8
4.870000e-03,318,4.4,0.6,4
4.880000e-03,318,4.6,0.6,3.6
4.890000e-03,312,4.4,0.6,3.6
4.900000e-03,318,4.6,0.8,3.8
4.910000e-03,312,4.6,0.4,3.6
4.920000e-03,312,4.6,0.8,3.8
4.930000e-03,312,4.8,0.8,3.8
4.940000e-03,318,4.8,0.6,3.6
4.950000e-03,318,4.6,0.6,3.8
4.960000e-03,312,4.6,0.8,3.6
4.970000e-03,312,4.6,0.8,4
4.980000e-03,312,5,0.8,3.8
4.990000e-03,312,4.6,0.8,3.8
5.000000e-03,318,5,1,3.8
5.010000e-03,306,4.8,0.8,3.8
5.020000e-03,312,5,1,3.6
5.030000e-03,306,5,0.6,3.8
5.040000e-03,312,5,1,3.8
5.050000e-03,324,5,1,3.8
5.060000e-03,312,4.8,0.6,3.8
5.070000e-03,318,5,1,3.6
5.080000e-03,318,5,1,3.6
5.090000e-03,318,4.8,1,3.8
5.100000e-03,318,5,1.2,3.6
5.110000e-03,318,5,1,3.6
5.120000e-03,318,4.8,1.2,3.8
5.130000e-03,318,5,1.2,3.8
5.140000e-03,312,5.2,1,3.6
5.150000e-03,312,5,1.2,4
5.160000e-03,312,5.2,1.2,3.8
5.170000e-03,312,5.2,1.2,3.6
5.180000e-03,312,5,1,3.6
5.190000e-03,312,5.2,1.2,3.6
5.200000e-03,312,5.2,1,3.8
5.210000e-03,306,5.2,1,3.6
5.220000e-03,306,5.2,1,3.8
5.230000e-03,300,5,1.2,3.6
5.240000e-03,312,5.4,1.2,3.6
5.250000e-03,318,5.2,1.4,3.8
5.260000e-03,306,5,1.4,3.6
5.270000e-03,312,5,1.2,4
5.280000e-03,312,5.2,1.2,3.6
5.290000e-03,312,5.2,1.4,3.6
5.300000e-03,318,5.2,1.4,3.6
5.310000e-03,312,5.2,1.4,3.6
5.320000e-03,318,5.2,1.4,3.8
5.330000e-03,312,5,1.2,4
5.340000e-03,312,5.4,1.4,3.6
5.350000e-03,318,5.2,1.2,3.8
5.360000e-03,318,5.2,1.4,3.6
5.370000e-03,312,5.4,1.6,3.6
5.380000e-03,312,5.4,1.4,3.6
5.390000e-03,312,5.2,1.4,3.8
5.400000e-03,312,5.2,1.4,4
5.410000e-03,318,5.2,1.4,3.6
5.420000e-03,306,5.4,1.4,3.6
5.430000e-03,312,5.4,1.4,3.6
5.440000e-03,318,5.4,1.4,3.8
5.450000e-03,318,5.4,1.4,3.6
5.460000e-03,312,5.6,1.6,3.6
5.470000e-03,312,5.6,1.4,3.6
5.480000e-03,312,5.6,1.6,3.6
5.490000e-03,306,5.6,1.6,3.6
5.500000e-03,312,5.6,1.4,3.6
5.510000e-03,318,5.4,1.6,3.8
5.520000e-03,312,5.6,1.6,3.8
5.530000e-03,306,5.4,1.6,3.8
5.540000e-03,312,5.6,1.6,3.6
5.550000e-03,306,5.6,1.6,3.6
5.560000e-03,318,5.4,1.6,3.8
5.570000e-03,312,5.6,1.6,3.6
5.580000e-03,312,5.8,1.6,3.6
5.590000e-03,312,5.8,1.6,3.8
5.600000e-03,318,5.6,1.8,3.6
5.610000e-03,318,5.6,1.8,3.6
5.620000e-03,312,5.8,1.8,3.6
5.630000e-03,318,5.6,1.6,3.4
5.640000e-03,312,5.6,1.6,3.6
5.650000e-03,312,5.8,2,3.6
5.660000e-03,312,5.8,1.6,3.8
5.670000e-03,312,5.8,1.6,3.6
5.680000e-03,306,5.8,1.6,3.8
5.690000e-03,306,5.8,1.8,3.6
5.700000e-03,312,6,2,3.8
5.710000e-03,306,6,2,3.6
5.720000e-03,306,5.8,1.8,3.6
5.730000e-03,300,5.6,1.8,3.8
5.740000e-03,306,5.6,2,3.8
5.750000e-03,312,6,2,4
5.760000e-03,312,6,2,3.6
5.770000e-03,306,5.8,2.2,3.4
5.780000e-03,318,5.8,1.8,3.6
5.790000e-03,306,6,1.8,3.6
5.800000e-03,306,6,1.8,3.8
5.810000e-03,300,6,2,3.6
5.820000e-03,312,6.2,2,3.6
5.830000e-03,306,5.8,2,3.4
5.840000e-03,306,6,2,3.6
5.850000e-03,300,6,2.2,3.6
5.860000e-03,300,5.8,2.2,3.6
5.870000e-03,300,5.8,2,3.6
5.880000e-03,306,6,2,3.6
5.890000e-03,300,6,2,3.4
5.900000e-03,300,6.2,2.2,3.8
5.910000e-03,300,6,2.2,3.4
5.920000e-03,300,6,2.2,3.6
5.930000e-03,300,6,2.2,3.6
5.940000e-03,300,6,2.4,3.6
5.950000e-03,300,6,2.2,3.4
5.960000e-03,306,6.2,2.2,3.6
5.970000e-03,300,6.2,2.4,3.6
5.980000e-03,300,6,2.2,3.4
5.990000e-03,294,6,2.6,3.6
6.000000e-03,300,6,2.4,3.4
6.010000e-03,300,6,2,3.6
6.020000e-03,300,6.2,2.4,3.4
6.030000e-03,294,6,2.2,3.6
6.040000e-03,300,6.2,2.4,3.4
6.050000e-03,300,6.4,2.4,3.4
6.060000e-03,300,6.2,2.6,3.4
6.070000e-03,294,6.2,2.6,3.4
6.080000e-03,300,6,2.6,3.4
6.090000e-03,300,6.2,2.2,3.6
6.100000e-03,288,6,2.6,3.8
6.110000e-03,300,6.2,2.4,3.4
6.120000e-03,288,6.2,2.4,3.4
6.130000e-03,300,6.2,2.4,3.4
6.140000e-03,294,6.4,2.4,3.4
6.150000e-03,294,6.2,2.4,3.4
6.160000e-03,294,6.2,2.4,3.6
6.170000e-03,294,6.2,2.4,3.4
6.180000e-03,294,6.2,2.2,3.6
6.190000e-03,294,6.2,2.6,3.6
6.200000e-03,294,6.4,2.6,3.4
6.210000e-03,294,6.4,2.6,3.4
6.220000e-03,294,6.2,2.6,3.4
6.230000e-03,294,6,2.6,3.4
6.240000e-03,288,6.2,2.6,3.4
6.250000e-03,294,6.4,2.6,3.4
6.260000e-03,294,6.2,2.6,3.4
6.270000e-03,288,6.2,2.6,3.4
6.280000e-03,288,6.4,2.6,3.6
6.290000e-03,288,6.2,2.6,3.6
6.300000e-03,288,6.2,3,3.4
6.310000e-03,294,6.2,2.6,3.4
6.320000e-03,288,6.4,2.6,3.4
6.330000e-03,288,6.4,2.8,3.4
6.340000e-03,288,6.2,2.6,3.4
6.350000e-03,288,6.4,2.8,3.4
6.360000e-03,282,6.4,2.6,3.4
6.370000e-03,288,6.6,2.8,3.4
6.380000e-03,288,6.4,2.8,3.4
6.390000e-03,282,6.6,2.8,3.4
6.400000e-03,288,6.4,3,3.4
6.410000e-03,288,6.4,2.8,3.4
6.420000e-03,282,6.4,2.8,3.2
6.430000e-03,288,6.6,2.8,3.4
6.440000e-03,282,6.4,3,3.4
6.450000e-03,282,6.4,3,3.4
6.460000e-03,282,6.4,2.8,3.4
6.470000e-03,288,6.4,2.8,3.2
6.480000e-03,282,6.4,3,3.2
6.490000e-03,276,6.6,3,3.4
6.500000e-03,276,6.2,2.8,3.2
6.510000e-03,282,6.6,3.2,3.2
6.520000e-03,282,6.4,3,3.2
6.530000e-03,282,6.6,2.8,3.4
6.540000e-03,276,6.6,2.8,3.2
6.550000e-03,282,6.6,3,3.2
6.560000e-03,276,6.4,3,3.4
6.570000e-03,276,6.6,3,3
6.580000e-03,276,6.4,3,3
6.590000e-03,282,6.4,3,3.2
6.600000e-03,282,6.4,3,3.2
6.610000e-03,276,6.6,3,3.2
6.620000e-03,270,6.4,3.2,3.2
6.630000e-03,276,6.6,3,3.2
6.640000e-03,276,6.4,2.8,3
6.650000e-03,276,6.4,3.2,3.2
6.660000e-03,270,6.6,3.2,3.2
6.670000e-03,282,6.6,3.2,3.4
6.680000e-03,276,6.6,3,3.2
6.690000e-03,276,6.6,3,3.2
6.700000e-03,276,6.4,3.2,3.4
6.710000e-03,270,6.4,3.2,3
6.720000e-03,270,6.6,3.2,3.2
6.730000e-03,270,6.4,3,3.2
6.740000e-03,270,6.4,3.2,3.2
6.750000e-03,264,6.6,3.4,3.4
6.760000e-03,264,6.6,3.2,3.2
6.770000e-03,270,6.6,3.2,3
6.780000e-03,258,6.6,3.2,3
6.790000e-03,270,6.6,3.4,3.2
6.800000e-03,264,6.4,3.2,3
6.810000e-03,264,6.6,3.2,3.2
6.820000e-03,270,6.6,3.2,3
6.830000e-03,264,6.6,3.2,3
6.840000e-03,264,6.8,3.2,3
6.850000e-03,270,6.6,3.2,3
6.860000e-03,258,6.6,3.6,3.2
6.870000e-03,258,6.6,3.4,3.4
6.880000e-03,264,6.6,3.2,3
6.890000e-03,252,6.6,3.4,2.8
6.900000e-03,258,6.6,3.2,2.8
6.910000e-03,264,6.6,3.4,3
6.920000e-03,258,6.4,3.4,3
6.930000e-03,252,6.6,3.2,3
6.940000e-03,252,6.6,3.4,3
6.950000e-03,246,6.6,3.4,3
6.960000e-03,252,6.4,3.4,3
6.970000e-03,252,6.8,3.4,3
6.980000e-03,252,6.6,3.6,3
6.990000e-03,252,6.8,3.4,3
7.000000e-03,252,6.6,3.8,3
7.010000e-03,252,6.6,3.6,2.8
7.020000e-03,252,6.8,3.4,2.8
7.030000e-03,252,6.8,3.4,2.8
7.040000e-03,252,6.4,3.2,3
7.050000e-03,252,6.8,3.4,3
7.060000e-03,246,6.6,3.6,3
7.070000e-03,240,6.8,3.4,3
7.080000e-03,246,6.6,3.4,3
7.090000e-03,246,6.8,3.4,3
7.100000e-03,246,6.8,3.6,3
7.110000e-03,246,6.8,3.4,3
7.120000e-03,240,6.6,3.6,3
7.130000e-03,246,6.8,3.6,2.8
7.140000e-03,240,6.6,3.8,3
7.150000e-03,240,6.4,3.6,2.8
7.160000e-03,240,6.4,3.6,2.8
7.170000e-03,240,6.6,3.6,2.8
7.180000e-03,240,6.8,3.6,3
7.190000e-03,234,6.6,3.6,2.8
7.200000e-03,246,6.8,3.6,3
7.210000e-03,234,6.8,3.8,2.8
7.220000e-03,240,6.6,3.8,2.8
7.230000e-03,234,6.8,3.6,2.6
7.240000e-03,234,6.6,3.6,2.8
7.250000e-03,240,6.6,3.8,2.6
7.260000e-03,240,6.8,3.6,2.6
7.270000e-03,234,6.6,3.6,2.8
7.280000e-03,228,6.8,3.6,2.8
7.290000e-03,234,6.8,3.6,2.8
7.300000e-03,240,6.6,3.6,2.8
7.310000e-03,228,6.6,3.6,2.6
7.320000e-03,228,6.8,4,2.8
7.330000e-03,222,6.6,3.8,2.6
7.340000e-03,234,6.8,3.8,2.6
7.350000e-03,228,6.6,3.8,2.6
7.360000e-03,228,6.6,3.8,2.6
7.370000e-03,228,6.8,3.8,2.6
7.380000e-03,222,6.8,3.6,2.6
7.390000e-03,222,6.6,3.8,2.6
7.400000e-03,222,6.8,4,2.6
7.410000e-03,222,6.8,4,2.6
7.420000e-03,222,6.8,4,2.6
7.430000e-03,222,6.8,4,2.6
7.440000e-03,222,6.8,3.8,2.6
7.450000e-03,222,6.6,4,2.6
7.460000e-03,222,6.8,4,2.4
7.470000e-03,222,6.8,4,2.8
7.480000e-03,210,6.6,3.8,2.6
7.490000e-03,222,6.8,4,2.6
7.500000e-03,210,6.8,3.8,2.6
7.510000e-03,210,6.6,4,2.6
7.520000e-03,216,6.8,3.8,2.4
7.530000e-03,222,6.6,3.8,2.6
7.540000e-03,216,6.8,4,2.6
7.550000e-03,210,6.6,4,2.6
7.560000e-03,222,6.8,4,2.6
7.570000e-03,210,6.6,4,2.6
7.580000e-03,204,6.6,3.8,2.6
7.590000e-03,210,6.6,4.2,2.4
7.600000e-03,204,6.6,4.2,2.4
7.610000e-03,204,6.8,4,2.6
7.620000e-03,204,6.6,4,2.4
7.630000e-03,204,6.8,4,2.6
7.640000e-03,204,6.6,4,2.4
7.650000e-03,204,6.8,4,2.2
7.660000e-03,204,6.6,4,2.4
7.670000e-03,204,6.6,4,2.4
7.680000e-03,204,6.6,4.2,2.4
7.690000e-03,198,6.8,4.2,2.4
7.700000e-03,198,6.6,4.2,2.2
7.710000e-03,198,6.6,4.2,2.2
7.720000e-03,198,6.8,4.2,2.2
7.730000e-03,198,6.6,4,2.4
7.740000e-03,198,6.6,4,2.2
7.750000e-03,198,6.6,4,2.2
7.760000e-03,198,6.8,4.2,2.2
7.770000e-03,192,6.6,4,2.2
7.780000e-03,198,6.6,4.2,2.2
7.790000e-03,198,6.6,4,2.2
7.800000e-03,198,6.6,4.2,2.2
7.810000e-03,186,6.6,4,2.4
7.820000e-03,192,6.8,4,2.2
7.830000e-03,192,6.6,4.2,2.4
7.840000e-03,192,6.6,4.2,2.2
7.850000e-03,192,6.6,4.2,2.2
7.860000e-03,192,6.8,4.2,2.2
7.870000e-03,180,6.6,4.2,2.2
7.880000e-03,192,6.6,4.2,2.2
7.890000e-03,186,6.4,4.2,2
7.900000e-03,186,6.6,4.2,2.2
7.910000e-03,192,6.6,4.2,2
7.920000e-03,186,6.8,4.2,2.2
7.930000e-03,186,6.6,4,2.2
7.940000e-03,180,6.6,4.2,2.2
7.950000e-03,186,6.4,4.4,2.2
7.960000e-03,180,6.6,4.2,2.2
7.970000e-03,186,6.4,4.4,2.2
7.980000e-03,180,6.6,4.4,2
7.990000e-03,186,6.6,4,2
8.000000e-03,186,6.6,4.2,2.2
8.010000e-03,180,6.6,4.2,2.2
8.020000e-03,174,6.6,4.2,2
8.030000e-03,180,6.6,4.4,2
8.040000e-03,174,6.6,4,2
8.050000e-03,174,6.6,4.4,2
8.060000e-03,180,6.4,4,2
8.070000e-03,180,6.6,4.2,1.8
8.080000e-03,174,6.8,4.2,2
8.090000e-03,174,6.6,4.4,2
8.100000e-03,174,6.6,4.4,2
8.110000e-03,168,6.6,4.4,1.8
8.120000e-03,174,6.4,4.6,2
8.130000e-03,168,6.4,4.4,1.8
8.140000e-03,168,6.4,4.4,2
8.150000e-03,168,6.8,4.2,2
8.160000e-03,174,6.4,4.4,1.8
8.170000e-03,168,6.4,4.4,2
8.180000e-03,162,6.6,4.4,1.8
8.190000e-03,168,6.4,4.4,1.8
8.200000e-03,162,6.6,4.4,1.8
8.210000e-03,168,6.6,4.4,1.8
8.220000e-03,162,6.6,4.4,1.8
8.230000e-03,156,6.4,4.6,1.8
8.240000e-03,162,6.4,4.8,2
8.250000e-03,156,6.6,4.4,1.8
8.260000e-03,156,6.8,4.4,1.8
8.270000e-03,156,6.4,4.6,1.6
8.280000e-03,156,6.6,4.2,1.6
8.290000e-03,150,6.6,4.4,1.6
8.300000e-03,150,6.6,4.6,2
8.310000e-03,150,6.2,4.6,1.8
8.320000e-03,150,6.4,4.8,1.8
8.330000e-03,156,6.4,4.8,1.8
8.340000e-03,144,6.6,4.8,1.8
8.350000e-03,150,6.4,4.4,1.6
8.360000e-03,150,6.4,4.6,2
8.370000e-03,150,6.4,4.4,1.8
8.380000e-03,150,6.6,4.4,2
8.390000e-03,144,6.4,4.4,1.6
8.400000e-03,144,6.4,4.6,1.6
8.410000e-03,144,6.4,4.4,1.8
8.420000e-03,138,6.4,4.6,1.6
8.430000e-03,144,6.4,4.6,1.8
8.440000e-03,138,6.4,4.8,1.6
8.450000e-03,144,6.4,4.4,1.6
8.460000e-03,138,6.2,4.4,1.6
8.470000e-03,138,6.4,4.6,1.6
8.480000e-03,144,6.2,4.4,1.4
8.490000e-03,144,6.2,4.4,1.6
8.500000e-03,132,6.2,4.6,1.8
8.510000e-03,132,6.4,4.6,1.4
8.520000e-03,138,6.4,4.6,1.6
8.530000e-03,138,6.2,4.6,1.4
8.540000e-03,132,6.6,4.6,1.4
8.550000e-03,138,6.2,4.8,1.6
