Temps(s),U(V),Itot(A),IL(A),IR(A)
-4.768000e-02,-204,0,2.4,-2.6
-4.767000e-02,-204,0,2.4,-2.4
-4.766000e-02,-198,-0.2,2.4,-2.6
-4.765000e-02,-210,0,2.4,-2.4
-4.764000e-02,-210,0,2.2,-2.6
-4.763000e-02,-210,0,2.6,-2.6
-4.762000e-02,-204,0,2.4,-2.6
-4.761000e-02,-210,-0.2,2.2,-2.6
-4.760000e-02,-210,0,2.4,-2.6
-4.759000e-02,-210,0,2.4,-2.6
-4.758000e-02,-216,-0.2,2.2,-2.6
-4.757000e-02,-210,-0.2,2.4,-2.6
-4.756000e-02,-216,-0.2,2.4,-2.8
-4.755000e-02,-216,-0.2,2.2,-2.6
-4.754000e-02,-216,-0.2,2.4,-2.6
-4.753000e-02,-216,-0.2,2.2,-2.8
-4.752000e-02,-222,-0.4,2.2,-2.8
-4.751000e-02,-216,-0.2,2.4,-2.6
-4.750000e-02,-216,-0.2,2.2,-2.8
-4.749000e-02,-222,-0.2,2.2,-2.6
-4.748000e-02,-222,-0.4,2.2,-2.8
-4.747000e-02,-222,-0.4,2.4,-2.6
-4.746000e-02,-228,-0.4,2.4,-2.8
-4.745000e-02,-216,-0.4,2.2,-2.8
-4.744000e-02,-222,-0.4,2.2,-3
-4.743000e-02,-228,-0.4,2.2,-2.6
-4.742000e-02,-222,-0.4,2,-3
-4.741000e-02,-234,-0.6,2.2,-2.8
-4.740000e-02,-228,-0.6,2,-2.8
-4.739000e-02,-228,-0.6,2,-2.8
-4.738000e-02,-234,-0.6,2,-3
-4.737000e-02,-222,-0.6,2,-2.8
-4.736000e-02,-228,-0.6,2,-3
-4.735000e-02,-228,-0.4,2,-3
-4.734000e-02,-228,-0.6,2,-2.8
-4.733000e-02,-234,-0.8,2,-2.8
-4.732000e-02,-228,-0.6,2,-2.8
-4.731000e-02,-228,-0.6,2,-3
-4.730000e-02,-234,-0.8,2.2,-2.8
-4.729000e-02,-234,-0.6,1.8,-2.6
-4.728000e-02,-234,-0.8,2,-3
-4.727000e-02,-234,-0.8,2,-3
-4.726000e-02,-234,-0.6,2,-3
-4.725000e-02,-240,-0.8,2,-2.8
-4.724000e-02,-240,-0.8,1.8,-3
-4.723000e-02,-240,-1,2,-3
-4.722000e-02,-234,-0.6,1.6,-2.8
-4.721000e-02,-246,-0.8,1.8,-2.8
-4.720000e-02,-246,-0.8,1.8,-3.2
-4.719000e-02,-246,-1,1.8,-3.2
-4.718000e-02,-234,-1,1.8,-2.8
-4.717000e-02,-240,-0.8,1.8,-3
-4.716000e-02,-246,-0.8,1.6,-3.2
-4.715000e-02,-246,-1,2,-3
-4.714000e-02,-240,-1.2,1.6,-3
-4.713000e-02,-240,-1,1.6,-3
-4.712000e-02,-246,-1.2,1.6,-3
-4.711000e-02,-246,-1.2,1.8,-3.2
-4.710000e-02,-246,-1.2,2,-2.8
-4.709000e-02,-246,-1,1.6,-3.2
-4.708000e-02,-246,-1.2,1.8,-3
-4.707000e-02,-246,-1.2,1.6,-3
-4.706000e-02,-246,-1,1.8,-3
-4.705000e-02,-252,-1.2,1.6,-3
-4.704000e-02,-246,-1.2,1.8,-3.2
-4.703000e-02,-252,-1.4,1.6,-3.2
-4.702000e-02,-252,-1.4,1.6,-3.2
-4.701000e-02,-258,-1.2,1.6,-3.2
-4.700000e-02,-252,-1.4,1.6,-3
-4.699000e-02,-252,-1.6,1.6,-2.8
-4.698000e-02,-252,-1.4,1.8,-3
